"title","company","location","date_posted","site","job_url","emails","description","job_type","salary_source","interval","min_amount","max_amount","currency"
"Estagiário de TI","PARVI","Natal, RN, BR","2026-05-25","indeed","https://br.indeed.com/viewjob?jk=d6764ddd42778baf","","Cursos desejados:

* Ciência da Computação; Sistemas de Informação; Análise e Desenvolvimento de Sistemas; Redes de Computadores; Gestão da Tecnologia da Informação; Engenharia da Computação ou áreas correlatas.


Atividades:

* Prestar atendimento aos clientes internos, esclarecendo dúvidas e auxiliando na solução de problemas;
* Realizar instalação e manutenção de computadores;
* Auxiliar no atendimento telefônico e cadastro de chamados;
* Orientar usuários sobre dúvidas técnicas relacionadas aos chamados;
* Auxiliar na realização de testes;
* Prestar suporte aos usuários em sistema operacional, instalação e ajustes de programas;
* Auxiliar em suporte a impressoras, hardware, sistema interno e manutenção preventiva.

  

Escolaridade Mínima: Ensino Superior","","","","","",""
"VAGA — ESTAGIÁRIO OU ANALISTA JÚNIOR DE PROCESSOS E TI/BI","Grupo Aerotur","Natal, Rio Grande do Norte, Brazil","2026-05-24","linkedin","https://www.linkedin.com/jobs/view/4414868386","",nan,"","","","","",""
"Estágio para computação","NIC.br","São Paulo do Potengi, Rio Grande do Norte, Brazil","2026-05-25","linkedin","https://www.linkedin.com/jobs/view/4417832613","","","","","","","",""
"Estágio em Social Mídia - Empresa de Energia Solar - Vagas Disponíveis","RH Ser Consultoria Empresarial","Natal, Rio Grande do Norte, Brazil",nan,"linkedin","https://www.linkedin.com/jobs/view/4415281456","","","","","","","",""
"Estágio em Social Mídia - Empresa de Energia Solar - Natal - Seleção em Andamento","RH Ser Consultoria Empresarial","Natal, Rio Grande do Norte, Brazil",nan,"linkedin","https://www.linkedin.com/jobs/view/4415270577","","","","","","","",""
"Estágio Administrativo","Dental Med Center","Natal, RN, BR","2026-05-26","indeed","https://br.indeed.com/viewjob?jk=b243502265fd4b59","","**Sobre a dentalmed**

Desde 2000 cuidamos do sorriso do povo potiguar, sendo referência em planos odontológicos no Rio Grande do Norte. Mais que um plano, somos um parceiro de cuidado acessível, humano e presente quando as pessoas mais precisam. Nosso jeito de trabalhar é acolhedor, transparente e movido por gente que gosta de fazer bem feito. Se você quer dar os primeiros passos da carreira em um time que tem muitos motivos para sorrir, essa vaga é pra você.

**Sobre a Vaga**

Estamos com vaga aberta de **Estágio na área Administrativa**, em Natal/RN. É a chance ideal para quem está cursando o ensino superior e quer aprender, na prática, como funciona a rotina administrativa de uma empresa consolidada, com acompanhamento de perto e espaço para crescer.

**O que você vai fazer**

* Apoiar as rotinas administrativas do dia a dia das áreas internas
* Organizar, conferir e gerenciar rotinas específicas
* Lançar e atualizar informações em planilhas e sistemas
* Auxiliar na emissão de relatórios e no controle de dados
* Dar suporte à comunicação entre setores e ao atendimento de demandas internas
* Contribuir com a melhoria e organização dos processos da equipe

**O que esperamos de você**

* Estar **cursando ensino superior** (preferencialmente em Administração, Engenharia de Produção, Gestão, Ciências Contábeis ou áreas correlatas).
* Vontade de aprender e crescer.

**O que oferecemos**

* Estágio remunerado (a combinar) \\+ vale transporte \\+ vale alimentação \\+ auxílio odontológico

Pagamento: R$1\\.518,00 \\- R$1\\.600,00 por mês

Benefícios:

* Assistência odontológica
* Vale\\-alimentação
* Vale\\-transporte

Local do trabalho: Presencial","parttime, internship","","","","",""
"Estagiário em Performance | Presencial | Natal/RN",nan,"Natal, RN, BR","2026-05-25","indeed","https://br.indeed.com/viewjob?jk=192c0c1c7ddbc031","","DESCRIÇÃO DA VAGA


A missão do Estagiário de Performance é apoiar a implantação, monitoramento e evolução das soluções de inteligência artificial aplicadas ao atendimento da Carpediem Homes, garantindo eficiência, qualidade e escalabilidade no relacionamento com hóspedes e proprietários.


Este profissional atuará diretamente no acompanhamento de métricas, relatórios e integrações, colaborando com times internos e fornecedores de tecnologia, assegurando que a IA esteja bem implementada e preparada para expandir para novos setores da empresa.

  



RESPONSABILIDADES E ATRIBUIÇÕES


* Apoiar na implantação de ferramentas de IA aplicadas ao atendimento;
* Monitorar métricas de desempenho e gerar relatórios de indicadores;
* Identificar gargalos e propor melhorias nos fluxos de atendimento automatizados;
* Colaborar com fornecedores de tecnologia e diferentes áreas da Carpediem;
* Desenvolver e organizar prompts para otimizar interações da IA;
* Apoiar a expansão do uso de IA para outros setores da empresa;
* Documentar processos e evoluções para garantir padronização e escalabilidade.

REQUISITOS E QUALIFICAÇÕES


* Graduação em andamento em Administração, Engenharia de Produção, Sistemas de Informação ou áreas correlatas;
* Interesse ou experiência em projetos de transformação digital e atendimento ao cliente;
* Perfil analítico e orientado a dados, com foco em métricas;
* Organização e atenção a detalhes no acompanhamento de indicadores e relatórios;
* Boa comunicação para interação com diferentes áreas;
* Proatividade, curiosidade e vontade de aprender sobre inovação em IA;
* Conhecimento em lógicas de IA;
* Facilidade na elaboração de prompts;
* Conhecimento em ferramentas de IA para atendimento (chatbots, NLP, LLM, CRMs);
* **Diferencial:** Experiência prévia com N8N, Claude Code, Lovable;
* **Diferencial:** Vivência em hospitalidade, turismo ou customer experience;
* **Diferencial:** Participação prévia em empresa júnior.

INFORMAÇÕES ADICIONAIS


Bolsa: R$ 1\\.800,00  

Regime: Estágio (30h semanais) \\- presencial  

Local de trabalho: Ponta Negra \\- Natal/RN  

Horário \\- manhã das 09:00 às 15:00


BENEFÍCIOS


TotalPass (saúde e bem\\-estar);  

Acompanhamento psicológico individualizado;  

Day off aniversário;  

Diversas ações pensando em você ❤


SOBRE A CARPEDIEM


Somos a maior administradora de imóveis de temporada do Nordeste! Nosso propósito é usar tecnologia na intermediação de locação de imóveis de temporada, maximizando a rentabilidade e a comodidade para o proprietário e a experiência para o hóspede. Além disso, proporcionamos experiências incríveis para os nossos hóspedes.


Na Carpediem Homes, o progresso da empresa anda de mãos dadas com o progresso do time, que é movido por metas desafiadoras! Precisamos de alguém que queira ser solução e que venha para somar nesse momento de expansão da empresa. Buscamos alcançar resultados de forma colaborativa e eficiente.","parttime, internship","","","","",""
"VAGA — ESTAGIÁRIO OU ANALISTA JÚNIOR DE PROCESSOS E TI/BI","Grupo Aerotur","Natal, RN, BR","2026-05-24","indeed","https://br.indeed.com/viewjob?jk=67fc6b9011c795be","","* Estagiário
* Período integral
* R$2\\.000 \\- R$2\\.500 Mensal
* 59020\\-130, Natal, RN, Brasil
* Oxe By Aerotur
A OXE está em busca de um profissional com perfil organizado, analítico, proativo e com interesse em gestão, processos e melhoria operacional para atuar diretamente no apoio à estruturação e organização dos fluxos internos da empresa.  

Essa pessoa trabalhará integrada aos times de vendas, atendimento, operações, TI, BI e desenvolvimento, participando ativamente da melhoria dos processos, organização operacional e implantação de soluções que tornem a operação mais eficiente e escalável.  

A vaga é ideal para alguém que queira crescer profissionalmente, aprender na prática e participar de projetos estratégicos dentro de uma operação em expansão.

 **Principais Responsabilidades:**  

**Mapeamento e Documentação:** Auxiliar no mapeamento e documentação de processos operacionais, identificando como os fluxos impactam os sistemas e o banco de dados da empresa.  

**Ponte entre Áreas:** Atuar como facilitador na comunicação entre as áreas de negócio (vendas, atendimento, operações) e as equipes técnicas de TI, BI e Desenvolvimento.

 **Levantamento de Requisitos:** Apoiar o levantamento de necessidades das áreas para a criação de novas automações, relatórios e melhorias sistêmicas.

 **Testes e Homologação:** Auxiliar nos testes e homologações de novas ferramentas, sistemas ou painéis antes de serem liberados para a empresa.

 **Gestão de Demandas:** Organizar informações, controles, indicadores e auxiliar no acompanhamento de tarefas e implementação de novos processos (Gestão de Backlog).

 **Perfil Desejado:**  

Organização extrema e atenção aos detalhes.  

Perfil analítico e facilidade natural com tecnologia e sistemas.  

Excelente comunicação interpessoal (capacidade de conversar com a operação e com desenvolvedores).  

Perfil proativo, executor e voltado para a solução de problemas.  

Interesse por gestão, eficiência operacional, dados e inovação.  

**Requisitos:**

  

Estar cursando (para estágio) ou ter formação recente (para júnior) em: Engenharia de Produção, Sistemas de Informação, Administração, Engenharia ou áreas correlatas.  

Conhecimento intermediário em Excel.  

Facilidade com sistemas, CRMs, ERPs ou ferramentas digitais de gestão.

 **Diferenciais (Serão Grandes Destaques):**  

Conhecimento em ferramentas de desenho de fluxos (Bizagi, Miro, Lucidchart ou similares).  

Noções de metodologias ágeis (Scrum/Kanban) ou uso de ferramentas de tarefas (Jira, Trello, Asana e Clickup).  

Noções básicas de lógica de dados, SQL ou ferramentas de visualização (Power BI, Metabase).  

Experiência prévia com atendimento, operações ou suporte.


 * Estagiário
* Período integral
* R$2\\.000 \\- R$2\\.500 Mensal
* 59020\\-130, Natal, RN, Brasil
* Oxe By Aerotur","fulltime, internship","","","","",""
"Auxiliar de Atendimento - Ultrassonografia | Instituto de Radiologia","Grupo Fleury","Natal, RN, BR","2026-05-23","indeed","https://br.indeed.com/viewjob?jk=d901ed1c90eed45d","","**Detalhes da vaga**
--------------------


**Sobre a Marca:**

 **O Instituto de Radiologia** atua há mais de 55 anos no **Rio Grande do Norte**, sendo referência em **Exames de Imagem**. Sua trajetória é marcada pela referência no segmento e trajetória de qualidade e precisão diagnóstica. Com unidades em **Natal \\- RN**, o IRN é integrante do **Grupo Fleury**, uma das **mais respeitadas empresas de medicina diagnóstica e saúde do Brasil**, fortalecendo seu compromisso com excelência, inovação e cuidado com as pessoas.

 **Quais são os desafios da área e do cargo:** Esta pessoa será responsável por prestar atendimento a clientes do Grupo Fleury. Buscamos alguém que acolha, ouça e entenda as necessidades dos clientes, com foco em preservar o atendimento humanizado, sem deixar de lado a qualidade e excelência que tanto valorizamos.

 **Sobre a área:** Atuação no setor de Ultrassonografia, prestando apoio à assistência ao paciente e suporte ao médico responsável pela realização dos exames, contribuindo para uma experiência acolhedora, organizada e de qualidade durante o atendimento.

 **Principais atividades:**

* Contribuir com o fluxo da agenda de exames e cumprimento dos horários agendados, por meio da organização da sala de exame, ajuste de equipamentos e apoio aos clientes com orientações sobre vestuário e preparo para realização dos exames;
* Auxiliar na digitação e preenchimento dos laudos, registrando informações pertinentes aos exames em sistema específico, conforme orientação médica;
* Apoiar na entrega dos exames dentro do prazo definido, realizando impressão de imagens, etiquetas, envelopamento e conferência de dados dos clientes.

 **Buscamos alguém que apresente:**

* Ensino médio completo;
* Conhecimento básico em informática (Pacote Office);
* Habilidade com digitação;
* Desejável experiência com atendimento ao público;
* Organização, atenção aos detalhes e boa comunicação interpessoal.

 **Será um diferencial:**

* Experiência com atendimento na área da saúde, incluindo estágios na área.

 **Informações da vaga:**

* Local de trabalho: á definir (Unidades do Instituto de Radiologia \\- Lagoa Nova (Av Lima e Silva) ou Tirol (Av Afonso Pena)
* Carga horária: 220h / 44hs semanais
* Horário de trabalho previsto: á definir (escala de segunda a sábado)
* A função contempla pagamento de adicional de insalubridade, conforme legislação vigente e critérios internos.

  

Antes da inscrição na vaga, é importante verificar se você atende aos requisitos e se conecta com nosso propósito.

 **Nossa essência inspira o dia a dia, por isso, buscamos pessoas apaixonadas pelo que fazem, e que:**

* Estimulem um ambiente de troca de conhecimentos, compartilhando experiências, possibilitando a interdependência entre os times;
* Estejam em constante movimento, investindo em autodesenvolvimento e atuando como facilitadora no desenvolvimento das outras pessoas;
* Busquem consciência social de diversidade e inclusão, cooperando com a construção de um ambiente colaborativo;
* Identifiquem e antecipem as necessidades dos clientes, agindo prontamente para encontrar soluções adequadas e personalizadas;
* Planejem e executem o trabalho com excelência a fim de atingir os resultados esperados, com a visão de inovação e agilidade;
* Gerem e implementem novas ideias, buscando constantemente por melhorias para a experimentação de novas abordagens e a adaptação às mudanças do mercado.

 **Cuidamos de você em cada etapa da sua jornada!**

  

**Ajustar os benefícios conforme vaga/localidade e apague esse trecho antes de publicar a vaga.**

 **Saúde e Bem\\-estar:**

* Assistência médica e odontológica para você e sua família;
* Ambulatório com clínica médica ou atendimento por telemedicina;
* Linhas de cuidado especializadas: gestantes, adoção, obesidade, oncologia, entre outras;
* Acesso à plataforma OrienteMe para sessões de terapia e orientação nutricional;
* Licença maternidade e paternidade estendidas;
* Acesso ao Wellhub para práticas esportivas e qualidade de vida.

 **Proteção e estabilidade:**

* Previdência privada;
* Participação nos lucros;
* Seguro de vida.

 **Facilidades para o dia a dia:**

* Vale\\-Alimentação;
* Vale\\-Refeição;
* Vale\\-Transporte;
* Auxílio\\-Creche;
* Clube de Descontos com lojas, farmácias, viagem, beleza, cultura, lazer, entre outros serviços.

 **Desenvolvimento e educação:**

* Plataforma de ensino;
* Parcerias educacionais com descontos em cursos e instituições.

 **Aqui, o cuidado vai além dos benefícios — ele está presente em cada momento da sua trajetória.**

  

Promovemos uma cultura inclusiva, focada na equidade e na valorização das diferenças. **Nossas vagas são abertas para todos os públicos e, simbolizando a nossa intencionalidade, oferecemos oportunidades afirmativas.**

  

Nosso compromisso vai além do cumprimento das legislações que incentivam a diversidade e inclusão. **Trabalhamos ativamente para ampliar a representatividade de nossas pessoas, pensando em raça, etnia, gênero, gerações, pessoas com deficiência e LGBTQIAPN\\+** em nosso time, além de fortalecer a representatividade de mulheres negras, indígenas, chefes de família.

  

Para conhecer mais sobre o Grupo Fleury, acesse o site: **https://carreiras.grupofleury.com.br/**

  

**O Grupo Fleury informa que a participação em seus processos seletivos é gratuita e nenhuma empresa terceira está autorizada a cobrar valores para a candidatura às vagas, ao treinamento, ao material didático ou qualquer outra despesa relacionada.**


**Requisitos**
--------------


### **Escolaridade miníma**


**Ensino Médio (2o. Grau) completo**",nan,"","","","",""
"Marketing","Ecolimp Soluções Ambientais","Natal, Rio Grande do Norte, Brazil","2026-05-25","linkedin","https://www.linkedin.com/jobs/view/4418959248","",nan,nan,"","","","",""
